Date,Observed,ERA5 model
20170608,0,0.270566773
20170609,0.4,0.502540203
20170610,0,0.00086014
20170611,0,0.070558868
20170612,0,0.009149733
20170613,2,0.035231687
20170614,0,0.006077357
20170615,0,0
20170616,0,8.32667E-14
20170617,0,0.000153015
20170618,0,0.00283315
20170619,0,0
20170620,0,0
20170621,0,0.003529587
20170622,0,0.528830152
20170623,0,0.045170611
20170624,0,0.065980647
20170625,0,0.000574459
20170626,0,0.474153328
20170627,5.2,6.498633066
20170628,15.5,8.023287896
20170629,6.6,8.68624139
20170630,2.7,1.933155995
20170701,0,0.163468028
20170702,0,0
20170703,0,0.015543784
20170704,0,0.518493829
20170705,0,0.144847637
20170706,0,0.337024135
20170707,0,0.210682034
20170708,0,0.041649144
20170709,2.3,0.749931188
20170710,0,0.613844547
20170711,0,0.170578185
20170712,0,0.116024345
20170713,0,0.00300647
20170714,0,0.002581352
20170715,0,0
20170716,0,0.000300449
20170717,0,0.003192054
20170718,0,0.625195142
20170719,1.9,2.727081706
20170720,0,0.233366094
20170721,0.3,0.184259331
20170722,1.4,2.966340787
20170723,0,1.086824731
20170724,0,0.723912501
20170725,0,0.011670136
20170726,0,0.002283479
20170727,0,0.792926083
20170728,1.9,0.105537267
20170729,1,1.981692515
20170730,0,1.014709408
20170731,0,0.584098922
20170801,0,0.089995712
20170802,0,0.043691204
20170803,0.3,0.57918133
20170804,1,1.302109817
20170805,0,0.195048624
20170806,0,0.001348937
20170807,0,0.60729874
20170808,0,0.257771809
20170809,0,0.108827414
20170810,0,0.002014246
20170811,0,0
20170812,0,0
20170813,0,0.000304645
20170814,0,0.094637703
20170815,0,0.43895282
20170816,0,0.008302846
20170817,0,0.019662074
20170818,0.3,0.459459821
20170819,0,0.06913632
20170820,0,0
20170821,0,0.000145355
20170822,0,0.030617241
20170823,0,0.051959972
20170824,0,0.491205096
20170825,0,0.028374421
20170826,0.8,0.695778859
20170827,0,7.176536494
20170828,18.5,5.913330488
20170829,4,5.533215943
20170830,0,1.738327447
20170831,0,0.167922153
20170901,0,0.063054757
20170902,0,0.004630417
20170903,1.5,1.46448761
20170904,0.6,1.069964497
20170905,0,0.067105487
20170906,0,0.004556892
20170907,0,0
20170908,0,0.987253641
20170909,2.3,2.296844961
20170910,0.3,0.817624716
20170911,3.3,1.169881117
20170912,4.7,1.667408677
20170913,0.5,0.545681663
20170914,2.1,1.697405766
20170915,0,0.842663351
20170916,0,0.308089374
20170917,6.8,2.253944225
20170918,2.3,4.522738183
20170919,0,0.057785371
20170920,0,0.002796935
20170921,6.1,4.952365021
20170922,0,0.01282253
20170923,0,0.047011064
20170924,0.6,2.28886427
20170925,0,0.534276378
20170926,0,0.034207499
20170927,0,0.055567102
20170928,0,0.06133586
20170929,2.8,0.745281299
20170930,0,0.029070784
20171001,0.4,0.17316865
20171002,0,0.014579613
20171003,0,0.074980316
20171004,0,0.00940506
20171005,0,0.034010923
20171006,0,0
20171007,0,0
20171008,0,0
20171009,0,0
20171010,0,0.001446298
20171011,0,0
20171012,0,0.03391046
20171013,0,0.018647847
20171014,0,0.003507874
20171015,0,0
20171016,11.6,14.07233385
